fixtureId,fixtureDate,desctiption,location,homeTeam,awayTeam,homeScore,awayScore
J19-1,2019/02/23 16:03,J1 第1節,Shonan BMWスタジアム平塚,湘南,札幌,2,0
J19-2,2019/03/02 16:03,J1 第2節,Shonan BMWスタジアム平塚,湘南,FC東京,2,3
J19-3,2019/03/09 16:03,J1 第3節,県立カシマサッカースタジアム,鹿島,湘南,1,0
J19-4,2019/03/17 17:03,J1 第4節,Shonan BMWスタジアム平塚,湘南,仙台,2,1
J19-5,2019/03/31 14:03,J1 第5節,IAIスタジアム日本平,清水,湘南,1,3
J19-6,2019/04/06 16:03,J1 第6節,Shonan BMWスタジアム平塚,湘南,磐田,0,2
J19-7,2019/04/14 17:03,J1 第7節,Shonan BMWスタジアム平塚,湘南,松本,1,1
J19-8,2019/04/19 19:03,J1 第8節,等々力陸上競技場,川崎Ｆ,湘南,2,0
J19-9,2019/04/28 14:03,J1 第9節,駅前不動産スタジアム,鳥栖,湘南,0,2
J19-10,2019/05/04 16:03,J1 第10節,Shonan BMWスタジアム平塚,湘南,名古屋,1,1
J19-11,2019/05/12 16:03,J1 第11節,Shonan BMWスタジアム平塚,湘南,大分,0,1
J19-12,2019/05/17 19:33,J1 第12節,埼玉スタジアム2002,浦和,湘南,2,3
J19-13,2019/05/26 15:03,J1 第13節,ノエビアスタジアム神戸,神戸,湘南,4,1
J19-14,2019/05/31 19:03,J1 第14節,Shonan BMWスタジアム平塚,湘南,横浜FM,1,2
J19-15,2019/06/14 19:03,J1 第15節,エディオンスタジアム広島,広島,湘南,2,0
J19-16,2019/06/22 19:03,J1 第16節,パナソニックスタジアム吹田,Ｇ大阪,湘南,1,0
J19-17,2019/06/30 19:03,J1 第17節,Shonan BMWスタジアム平塚,湘南,Ｃ大阪,0,2
J19-18,2019/07/07 18:03,J1 第18節,パロマ瑞穂スタジアム,名古屋,湘南,0,2
J19-19,2019/07/14 19:03,J1 第19節,Shonan BMWスタジアム平塚,湘南,神戸,3,1
J19-20,2019/07/20 13:03,J1 第20節,札幌厚別公園競技場,札幌,湘南,5,2
J19-21,2019/08/03 19:03,J1 第21節,Shonan BMWスタジアム平塚,湘南,鹿島,3,2
J19-22,2019/08/11 19:03,J1 第22節,ヤマハスタジアム,磐田,湘南,2,3
J19-23,2019/08/17 19:03,J1 第23節,Shonan BMWスタジアム平塚,湘南,鳥栖,2,3
J19-24,2019/08/24 19:03,J1 第24節,ユアテックスタジアム仙台,仙台,湘南,1,1
J19-25,2019/09/01 19:00,J1 第25節,Shonan BMWスタジアム平塚,湘南,浦和,,
J19-26,2019/09/14 18:00,J1 第26節,大分市営陸上競技場,大分,湘南,,
J19-27,2019/09/29 19:00,J1 第27節,Shonan BMWスタジアム平塚,湘南,清水,,
J19-28,2019/10/06 19:00,J1 第28節,Shonan BMWスタジアム平塚,湘南,川崎Ｆ,,
J19-29,2019/10/19 14:00,J1 第29節,ニッパツ三ツ沢球技場,横浜FM,湘南,,
J19-30,2019/11/03 16:00,J1 第30節,Shonan BMWスタジアム平塚,湘南,Ｇ大阪,,
J19-31,2019/11/09 15:00,J1 第31節,ヤンマースタジアム長居,Ｃ大阪,湘南,,
J19-32,2019/11/23 14:00,J1 第32節,味の素スタジアム,FC東京,湘南,,
J19-33,2019/11/30 14:00,J1 第33節,Shonan BMWスタジアム平塚,湘南,広島,,
J19-34,2019/12/07 14:00,J1 第34節,サンプロ アルウィン,松本,湘南,,
